[19:34:20.873] [SEVERE ] player 2 placing token on slot 1
[19:34:21.228] [SEVERE ] key 73 was pressed by player 2
[19:34:21.228] [SEVERE ] removing player 2 token from slot 1
[19:34:21.488] [SEVERE ] key 79 was pressed by player 2
[19:34:21.488] [SEVERE ] player 2 placing token on slot 2
[19:34:21.817] [SEVERE ] key 79 was pressed by player 2
[19:34:21.817] [SEVERE ] removing player 2 token from slot 2
[19:34:22.116] [SEVERE ] key 79 was pressed by player 2
[19:34:22.116] [SEVERE ] player 2 placing token on slot 2
[19:34:22.376] [SEVERE ] key 79 was pressed by player 2
[19:34:22.376] [SEVERE ] removing player 2 token from slot 2
[19:34:22.633] [SEVERE ] key 79 was pressed by player 2
[19:34:22.633] [SEVERE ] player 2 placing token on slot 2
[19:34:22.882] [SEVERE ] key 79 was pressed by player 2
[19:34:22.882] [SEVERE ] removing player 2 token from slot 2
[19:34:23.173] [SEVERE ] key 79 was pressed by player 2
[19:34:23.173] [SEVERE ] player 2 placing token on slot 2
[19:34:23.594] [SEVERE ] key 79 was pressed by player 2
[19:34:23.594] [SEVERE ] removing player 2 token from slot 2
[19:34:23.988] [SEVERE ] key 68 was pressed by player 1
[19:34:23.988] [SEVERE ] player 1 placing token on slot 6
[19:34:24.058] [SEVERE ] key 83 was pressed by player 1
[19:34:24.058] [SEVERE ] player 1 placing token on slot 5
[19:34:25.972] [SEVERE ] key 70 was pressed by player 1
[19:34:25.972] [SEVERE ] player 1 placing token on slot 7
[19:34:26.169] [SEVERE ] key 70 was pressed by player 1
[19:34:26.169] [SEVERE ] removing player 1 token from slot 7
[19:34:26.356] [SEVERE ] key 70 was pressed by player 1
[19:34:26.356] [SEVERE ] player 1 placing token on slot 7
[19:34:26.414] [SEVERE ] key 68 was pressed by player 1
[19:34:26.414] [SEVERE ] removing player 1 token from slot 6
[19:34:27.020] [SEVERE ] key 68 was pressed by player 1
[19:34:27.021] [SEVERE ] player 1 placing token on slot 6
[19:34:27.035] [SEVERE ] key 81 was pressed by player 1
[19:34:27.035] [SEVERE ] player 1 placing token on slot 0
[19:34:27.319] [SEVERE ] key 81 was pressed by player 1
[19:34:27.320] [SEVERE ] removing player 1 token from slot 0
[19:34:27.540] [SEVERE ] key 81 was pressed by player 1
[19:34:27.540] [SEVERE ] player 1 placing token on slot 0
[19:34:27.917] [SEVERE ] key 81 was pressed by player 1
[19:34:27.930] [SEVERE ] removing player 1 token from slot 0
[19:34:28.070] [SEVERE ] key 65 was pressed by player 1
[19:34:28.070] [SEVERE ] player 1 placing token on slot 4
[19:34:28.299] [SEVERE ] key 81 was pressed by player 1
[19:34:28.300] [SEVERE ] player 1 placing token on slot 0
[19:34:28.350] [SEVERE ] key 65 was pressed by player 1
[19:34:28.350] [SEVERE ] removing player 1 token from slot 4
[19:34:28.490] [SEVERE ] key 81 was pressed by player 1
[19:34:28.490] [SEVERE ] removing player 1 token from slot 0
[19:34:28.600] [SEVERE ] key 65 was pressed by player 1
[19:34:28.600] [SEVERE ] player 1 placing token on slot 4
[19:34:28.731] [SEVERE ] key 81 was pressed by player 1
[19:34:28.749] [SEVERE ] player 1 placing token on slot 0
[19:34:28.840] [SEVERE ] key 65 was pressed by player 1
[19:34:28.840] [SEVERE ] removing player 1 token from slot 4
[19:34:28.970] [SEVERE ] key 81 was pressed by player 1
[19:34:28.970] [SEVERE ] removing player 1 token from slot 0
[19:34:29.080] [SEVERE ] key 65 was pressed by player 1
[19:34:29.080] [SEVERE ] player 1 placing token on slot 4
[19:34:29.190] [SEVERE ] key 81 was pressed by player 1
[19:34:29.190] [SEVERE ] player 1 placing token on slot 0
[19:34:29.455] [SEVERE ] key 81 was pressed by player 1
[19:34:29.471] [SEVERE ] removing player 1 token from slot 0
[19:34:29.487] [SEVERE ] key 65 was pressed by player 1
[19:34:29.487] [SEVERE ] removing player 1 token from slot 4
[19:34:31.006] [SEVERE ] key 69 was pressed by player 1
[19:34:31.006] [SEVERE ] removing player 1 token from slot 2
[19:34:31.202] [SEVERE ] key 82 was pressed by player 1
[19:34:31.202] [SEVERE ] player 1 placing token on slot 3
[19:34:31.531] [SEVERE ] key 69 was pressed by player 1
[19:34:31.531] [SEVERE ] player 1 placing token on slot 2
[19:34:32.486] [SEVERE ] key 68 was pressed by player 1
[19:34:32.486] [SEVERE ] removing player 1 token from slot 6
[19:34:32.831] [SEVERE ] key 70 was pressed by player 1
[19:34:32.831] [SEVERE ] removing player 1 token from slot 7
[19:34:33.116] [SEVERE ] key 68 was pressed by player 1
[19:34:33.117] [SEVERE ] player 1 placing token on slot 6
[19:34:33.896] [SEVERE ] key 69 was pressed by player 1
[19:34:33.896] [SEVERE ] removing player 1 token from slot 2
[19:34:34.726] [SEVERE ] key 87 was pressed by player 1
[19:34:34.726] [SEVERE ] removing player 1 token from slot 1
